I
1100 Generated by WorldEditor 2.2.0r2

17      0 0 0 Srpt Starbase Spacex Heliport
1302 flatten 1
102 H3  25.98776319 -097.18836264  43.13 55.30 50.00 3 0 0 0.00 1
130 SpaceX Heliport
111  25.98646065 -097.19007391
111  25.98617998 -097.18971271
111  25.98779244 -097.18795565
113  25.98818318 -097.18846379

1      3 1 0 SX21 SpaceX-Launch-Site
1302 city Boca Chica Village
1302 state Texas
100 75.00 1 0 0.00 1 0 1 01  25.99671331 -097.15517915    0    0 0 0 0 1 19  25.99759814 -097.15492075    0    0 0 0 0 1
102 H1  25.99721826 -097.15689199  25.14 18.00 18.00 15 0 0 0.00 1
102 H2  25.99669119 -097.15733450   0.00 17.80 17.80 15 0 0 0.00 1
110 2 0.00 0.0000 TankfarmTaxiway 3
111  25.99796478 -097.15755627
111  25.99774659 -097.15699628
111  25.99801103 -097.15689211
111  25.99810403 -097.15727020
111  25.99815224 -097.15760078
113  25.99796683 -097.15760981
110 2 0.00 0.0000 HopperTaxiway 1
111  25.99749824 -097.15636857
112  25.99764252 -097.15542520  25.99764252 -097.15538077
111  25.99764252 -097.15542520
112  25.99764252 -097.15542520  25.99767785 -097.15536710
112  25.99770137 -097.15539569  25.99769983 -097.15541278
111  25.99770137 -097.15539569
112  25.99770137 -097.15539569  25.99772133 -097.15542303
111  25.99801077 -097.15689226
113  25.99774335 -097.15699566
110 2 0.00 0.0000 Sub-orbital Aprons
111  25.99717494 -097.15711569
111  25.99689695 -097.15734182
111  25.99697078 -097.15782651
111  25.99681675 -097.15788634
112  25.99656246 -097.15727996  25.99656246 -097.15725128
111  25.99656246 -097.15727996
112  25.99656246 -097.15727996  25.99655446 -097.15724337
112  25.99662988 -097.15710993  25.99668588 -097.15706147
111  25.99662988 -097.15710993
112  25.99662988 -097.15710993  25.99670899 -097.15700115
111  25.99683222 -097.15685325
111  25.99728611 -097.15626364
111  25.99739869 -097.15621507
111  25.99742462 -097.15631358
111  25.99746568 -097.15642616
111  25.99765435 -097.15693013
113  25.99734264 -097.15704065
110 1 0.25 10.0000 Launch Area roads Asphalt
111  25.99772633 -097.15537408
112  25.99765850 -097.15539535  25.99765127 -097.15540459
111  25.99765850 -097.15539535
112  25.99765850 -097.15539535  25.99764260 -097.15540620
111  25.99749728 -097.15636627
112  25.99794566 -097.15750147  25.99787791 -097.15733815
111  25.99794566 -097.15750147
112  25.99796299 -097.15761499  25.99795622 -097.15765519
111  25.99796299 -097.15761499
111  25.99815800 -097.15760712
111  25.99816103 -097.15767714
111  25.99794804 -097.15768903
112  25.99794804 -097.15768903  25.99792771 -097.15779708
111  25.99783762 -097.15784871
111  25.99742347 -097.15803569
112  25.99742347 -097.15803569  25.99730829 -097.15807840
111  25.99721863 -097.15797035
112  25.99710782 -097.15772448  25.99714170 -097.15773956
111  25.99710782 -097.15772448
112  25.99715591 -097.15772345  25.99718979 -097.15778376
111  25.99715591 -097.15772345
111  25.99725963 -097.15792204
112  25.99741401 -097.15797035  25.99752016 -097.15792010
111  25.99741401 -097.15797035
111  25.99781699 -097.15778701
112  25.99781699 -097.15778701  25.99792991 -097.15762871
111  25.99788196 -097.15750876
111  25.99746466 -097.15642189
111  25.99742291 -097.15631572
111  25.99741179 -097.15626145
111  25.99739769 -097.15621358
111  25.99729212 -097.15626318
111  25.99698533 -097.15665494
111  25.99683185 -097.15685150
111  25.99673787 -097.15696923
112  25.99662008 -097.15712407  25.99658541 -097.15717253
111  25.99662008 -097.15712407
112  25.99662008 -097.15712407  25.99657475 -097.15716363
112  25.99656253 -097.15728065  25.99657231 -097.15731922
111  25.99656253 -097.15728065
112  25.99656253 -097.15728065  25.99656964 -097.15730340
111  25.99658826 -097.15734470
111  25.99671819 -097.15765398
111  25.99678686 -097.15781738
112  25.99681552 -097.15788309  25.99684541 -097.15795385
111  25.99681552 -097.15788309
112  25.99681552 -097.15788309  25.99678203 -097.15791860
112  25.99672916 -097.15791326  25.99671093 -097.15790414
111  25.99672916 -097.15791326
111  25.99669874 -097.15787785
111  25.99646328 -097.15734670
112  25.99646328 -097.15734670  25.99645057 -097.15725840
